City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Alta Floresta,BR,84.02,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
254,Wanlaweyn,SO,78.22,broken clouds,2.6185,44.8938,GAASHAAN HOME
255,Marau,BR,79.81,clear sky,-28.4492,-52.2,Hotel Pousada Tordilho Negro
257,Balabac,PH,79.23,moderate rain,7.9868,117.0645,Sing and Swing Lodge
261,Ouallam,NE,81.07,clear sky,14.3188,2.0866,
263,Srandakan,ID,78.24,overcast clouds,-7.9386,110.2506,Puri Brata
264,Lorengau,PG,80.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
266,Maine-Soroa,NE,75.18,scattered clouds,13.2114,12.0241,Complexe
270,Balikpapan,ID,75.36,overcast clouds,-1.2675,116.8289,ibis Balikpapan
272,Benguela,AO,77.7,few clouds,-12.5763,13.4055,Hotel Praia Morena
273,Mahibadhoo,MV,81.77,scattered clouds,3.7833,72.9667,Omadhoo Inn
274,Tanout,NE,74.7,clear sky,14.9709,8.8879,
276,Mbandaka,CD,74.21,overcast clouds,0.0487,18.2603,Guest House Epervier
277,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
278,Kandrian,PG,78.55,scattered clouds,-6.2167,149.55,Kandrian Station
280,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
281,Suchindram,IN,77.95,overcast clouds,8.15,77.4833,SPOT ON 62410 V.K.P Lodge
283,Tomatlan,MX,88.93,overcast clouds,19.9333,-105.25,El Salvial
285,Isangel,VU,79.27,scattered clouds,-19.55,169.2667,Tanna Lodge
286,Prabumulih,ID,74.59,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
287,Marsh Harbour,BS,75.04,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
290,Lulindi,TZ,70.88,clear sky,-10.8167,39.1333,
291,Lufilufi,WS,76.78,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
297,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
298,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
299,Ocampo,MX,72.28,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
304,Casambalangan,PH,71.46,overcast clouds,18.3765,122.1274,Villa Saturnina
307,Jibuti,DJ,74.62,clear sky,11.5,42.5,Orchid Main Camp Goubet
311,Luanda,AO,78.8,few clouds,-8.8368,13.2343,Hotel Fórum
313,Kawalu,ID,72.86,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
316,Christiana,ZA,72.1,few clouds,-27.914,25.1611,At-Neli Guesthouse
319,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
320,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
323,Richards Bay,ZA,74.1,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
325,Xai-Xai,MZ,76.71,broken clouds,-25.0519,33.6442,Complexo da Familia
326,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
328,Kang,BW,74.35,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
330,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
331,Puerto Colombia,CO,84.29,broken clouds,10.9878,-74.9547,Hotel El Emigrante
332,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
339,Ladario,BR,88.09,light rain,-19.0047,-57.6017,Hotel Fazenda 4 cantos
343,Pangkalanbuun,ID,74.17,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
346,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
348,Sinnamary,GF,81.18,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
349,Ixtapa,MX,81.63,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
363,San Luis,AR,84.58,broken clouds,-33.295,-66.3356,Huarpes Hotel
365,Katobu,ID,76.69,overcast clouds,-4.9408,122.5276,La Ode Husein
367,Tabou,CI,79.83,scattered clouds,4.423,-7.3528,hotêl doufoulougou
369,Banjar,ID,78.66,heavy intensity rain,-8.19,114.9675,The Hamsa Resort
371,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
376,Namibe,AO,71.08,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
380,Sabla,NG,79.97,few clouds,12.7525,4.7077,
384,Looc,PH,77.9,overcast clouds,12.2605,121.9926,Cummings Highlands
385,Oriximina,BR,87.78,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
386,Razole,IN,70.86,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
388,Huarmey,PE,71.53,overcast clouds,-10.0681,-78.1522,Hotel Miramar
389,Kisangani,CD,72.46,light rain,0.5167,25.2,Grand Ramela Hotel
392,Labuhan,ID,77.95,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
395,Vao,NC,75.94,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
397,Palu,ID,76.51,light rain,-0.8917,119.8707,Hotel Santika Palu
