City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
650,Ocos,GT,14.5094,-92.1933,93.7,63,76,6.78,broken clouds
651,Quesnel,CA,52.9999,-122.5029,28.9,93,90,2.3,overcast clouds
652,Gore,NZ,-46.1028,168.9436,58.23,83,100,0.92,overcast clouds
653,Darhan,MN,49.4867,105.9228,13.15,89,84,5.55,broken clouds
654,El Campo,US,29.1966,-96.2697,78.89,65,40,6.91,scattered clouds
655,Nelson Bay,AU,-32.7167,152.15,66.11,94,11,1.01,few clouds
656,Springdale,US,36.1867,-94.1288,75.31,33,1,8.01,clear sky
657,Goderich,CA,43.7501,-81.7165,44.91,70,98,20.71,overcast clouds
658,Lugo,ES,43.0,-7.5,41.92,100,54,2.13,broken clouds
659,Derzhavinsk,KZ,51.1,66.3167,32.68,83,100,14.36,overcast clouds
660,Honningsvag,NO,70.9821,25.9704,31.75,69,75,8.05,light shower snow
661,Sechura,PE,-5.5569,-80.8222,76.89,60,100,15.35,overcast clouds
662,Atasu,KZ,48.6814,71.6433,33.53,79,100,4.56,snow
663,Totness,SR,5.8833,-56.3167,80.91,79,29,8.86,scattered clouds
664,Yumen,CN,40.2833,97.2,23.79,44,92,8.37,overcast clouds
665,Aginskoye,RU,51.1,114.53,11.62,91,62,7.16,broken clouds
666,Talaya,RU,61.3833,152.75,-20.97,98,100,6.08,overcast clouds
667,Maragogi,BR,-9.0122,-35.2225,81.19,72,99,12.19,overcast clouds
668,Stawell,AU,-37.05,142.7667,46.89,89,4,9.37,clear sky
669,Poum,NC,-20.2333,164.0167,81.21,76,54,18.37,light rain
670,Intipuca,SV,13.1969,-88.0544,94.89,38,35,6.11,scattered clouds
671,San Quintin,MX,30.4833,-115.95,67.87,62,0,9.24,clear sky
672,Basoko,CD,1.2391,23.616,72.19,97,100,1.88,moderate rain
673,Sakakah,SA,29.9697,40.2064,54.97,47,0,4.0,clear sky
674,Khor,RU,47.8861,134.9464,4.69,98,93,7.65,overcast clouds
675,Tashara,RU,55.5195,83.5094,28.24,71,80,14.9,broken clouds
676,Port Keats,AU,-14.25,129.55,83.28,82,100,6.4,overcast clouds
677,Baiao,BR,-2.7906,-49.6717,85.55,65,100,0.67,overcast clouds
678,Haapiti,PF,-17.5667,-149.8667,83.93,74,74,23.6,light rain
679,Ikorodu,NG,6.6191,3.5041,82.36,75,100,9.55,overcast clouds
680,Sistranda,NO,63.7256,8.834,20.89,56,28,12.55,scattered clouds
681,Linqiong,CN,30.4159,103.4609,44.42,67,53,1.92,broken clouds
682,Svetlogorsk,BY,52.6333,29.7333,37.08,91,100,11.65,overcast clouds
683,Innisfail,AU,-17.5333,146.0333,77.05,89,98,3.87,overcast clouds
684,Mercedes,AR,-34.6515,-59.4307,84.18,32,0,10.96,clear sky
685,Victor Harbor,AU,-35.5667,138.6167,61.0,80,100,6.38,overcast clouds
686,Wamba,NG,8.9333,8.6,78.04,26,14,4.85,few clouds
687,Ust-Kuyga,RU,70.0167,135.6,-44.27,100,100,0.72,overcast clouds
688,University Place,US,47.2356,-122.5504,50.14,77,75,5.75,broken clouds
