Unnamed: 0,TotalCoinSupply,TotalCoinsMined,CoinName,Class
VIP,8.999999999999999e-05,8.429425494523455e-05,VIP Tokens,0
BSD,0.000139,2.4634303574462228e-05,BitSend,0
OMNI,6.16448e-07,6.226394217472033e-07,Omni,3
LIR,3.35e-05,3.8980006684536215e-05,Let it Ride,0
PUT,0.002,0.0008213147135639345,PutinCoin,0
IBANK,4.4333333e-05,4.572054144447702e-06,iBankCoin,0
FRWC,9.999999999999999e-05,0.00010101121017516,Frankywillcoin,0
MUDRA,0.00019999999999999998,5.0505202053125176e-06,MudraCoin,0
PIZZA,2.4999999999999998e-05,1.3918087968066747e-06,PizzaCoin,3
LC,0.000657,0.0006636438871562658,Lutetium Coin,0
KMD,0.00019999999999999998,0.00011707011143822338,Komodo,3
GB,4.9999999999999996e-05,1.5721220645668756e-05,GoldBlocks,0
CTC,8.999999999999999e-05,4.360196981630424e-05,CarterCoin,0
KRB,9.999999999999999e-06,7.901494854014166e-06,Karbo,3
BXT,2.1e-05,6.014078665632431e-07,BitTokens,0
ZYD,9.736e-06,6.306938569650361e-06,ZayedCoin,3
MST,3e-06,6.642442854597716e-07,MustangCoin,0
ZNE,2.1e-05,2.60803781407262e-06,ZoneCoin,0
COVAL,0.0012,0.001010112483573715,Circuits of Value,3
ROOT,0.0,1.9594637532670447e-06,RootCoin,0
DOPE,0.00019999999999999998,0.00011802678598125889,DopeCoin,3
BTCR,0.0,0.00017131364398891228,BitCurrency,0
DLC,1.0638297999999999e-05,9.198763457405489e-06,DollarCoin,3
SCN,0.0031,0.0006719268674458666,Swiscoin,0
SH,3e-05,1.1231600774401894e-05,Shilling,3
BUZZ,0.02,0.019775768099222997,BuzzCoin,0
XPO,7.4e-05,7.478243316626309e-05,Opair,0
PSB,0.0,3.3861916349526105e-05,PesoBit,0
HALLO,0.0015,0.00026735498365459823,Halloween Coin,0
XZC,2.14e-05,7.64477326578056e-06,ZCoin,3
CFC,3.9999898e-05,0.00015022067624351898,CoffeeCoin,0
ROYAL,2.500124e-06,2.5253641442697554e-06,RoyalCoin,0
GNJ,9.999999999999999e-05,0.00010101121017516,GanjaCoin V2,0
TEAM,0.000301,1.799883162737528e-05,TeamUP,0
LANA,0.007506,0.0010931059908985078,LanaCoin,0
ELE,2.6205539e-05,2.6470500769759988e-05,Elementrem,3
ZCL,2.1e-05,5.670274745638833e-06,ZClassic,3
ARK,0.000125,0.00010929623796285102,ARK,0
INSANE,3e-05,1.8528262748666736e-05,InsaneCoin,0
KLC,0.01,0.00019828299691049012,KiloCoin,3
ATX,0.0005,0.0008323326789979977,ArtexCoin,3
EMB,0.00085,0.09312512499722704,EmberCoin,0
XEN,3.85332677707314e-06,3.892251219607147e-06,XenixCoin,0
FRE,4.9999999999999996e-05,5.050558387524027e-05,FreeCoin,0
PLNC,3.854e-05,1.7262376599622708e-05,PLNCoin,0
ARCO,4.2e-05,2.4743064059498467e-06,AquariusCoin,0
KURT,0.00022799999999999999,6.198532384216967e-05,Kurrent,3
XCRE,1.9999999999999998e-05,2.0202208095288435e-05,Creatio,0
ENT,6e-05,6.130817447836677e-06,Eternity,0
EUC,1.9999999999999998e-05,1.2542074300456016e-05,Eurocoin,0
BCF,3.3e-05,2.044869943142752e-05,BitcoinFast,0
XSN,7.65e-05,7.635473614706129e-05,Stakenet,0
BCCOIN,2.8e-05,1.1192734045396626e-05,BitConnect Coin,0
MONEY,0.000650659833,1.102474791110289e-05,MoneyCoin,0
XNG,4.9999999999999996e-06,8.22866956988183e-07,Enigma,0
XCI,2.1e-05,9.879940920632446e-07,Cannabis Industry Coin,3
RC,0.000144,8.462552033844294e-06,Russiacoin,0
PND,0.032514916898,0.034155080075394764,PandaCoin,0
UNITS,1.3e-05,3.5080612062000273e-06,GameUnits,0
GAKH,3.315789e-06,3.349277577788236e-06,GAKHcoin,0
ASAFE2,1.5e-05,1.0624091564757174e-05,Allsafe,0
LTCR,7.88352e-05,3.053338648306851e-05,LiteCreed,0
OS76,2.714286e-06,9.030244364887856e-07,OsmiumCoin,3
BIC,2.4999999999999998e-05,9.45166937098981e-06,Bikercoins,3
HXX,9.999999e-06,1.895076598604205e-06,HexxCoin,3
KED,0.0005,2.4207680022731743e-05,Klingon Empire Darsek,0
IOP,2.1e-05,2.5515810848300206e-06,Internet of People,0
KUSH,9.354e-06,5.716282297716262e-06,KushCoin,0
PRX,1.9999999999999998e-05,1.1941233107066495e-05,Printerium,0
PAC,0.09999999999999999,0.0005424122767593174,PacCoin,3
IMPCH,2.1933333e-05,3.112530434702042e-07,Impeach,0
CTL,0.000185,1.1080203617022588e-05,Citadel,3
ZBC,5.5e-05,2.952126549266365e-06,Zilbercoin,0
FRST,0.00011,0.00011111233543514395,FirstCoin,0
BVC,3.36e-06,3.1467187028372516e-06,BeaverCoin,3
FIND,1.4524851482699999e-05,1.4671691996262168e-05,FindCoin,0
VLTC,0.001,3.06927721385458e-05,VaultCoin,3
ZER,1.7e-05,6.991606880143162e-06,Zero,3
CHAT,0.001,0.001010112483573715,OpenChat,0
CDN,9.999999999999999e-05,0.00010085303495353078,Canada eCoin,3
ZOI,2.1e-05,1.8733259530199216e-05,Zoin,3
RNS,3.4426423e-05,3.641488282863465e-05,RenosCoin,0
DBIX,2.232901e-06,2.2554388447348865e-06,DubaiCoin,3
XVP,9.999999999999999e-05,1.329581530346377e-05,VirtacoinPlus,0
TAJ,3.69e-05,1.230736649923973e-05,TajCoin,0
IMX,0.00011,0.00011174909809914192,Impact,0
EB3,0.004,6.4744182567565e-05,EB3coin,3
ATMOS,0.00011029002999999999,0.0001122596585042139,Atmos,0
HPC,9.999999999999999e-05,2.1738914513579824e-05,HappyCoin,0
CXT,4.8252e-05,1.0225528698507492e-05,Coinonat,3
MCRN,0.00039999999999999996,0.00040548074292924503,MacronCoin,0
RAIN,0.0005,0.00012289575426205164,Condensate,0
IMS,2.1212121e-05,5.423185059979209e-06,Independent Money System,0
ARGUS,2.86e-05,1.1598940316251253e-06,ArgusCoin,0
LMC,0.001,5.050138383197423e-07,LomoCoin,0
PROC,0.075,0.000101562474035661,ProCurrency,0
XGR,3.9999999999999996e-05,1.7344985622223908e-05,GoldReserve,0
BENJI,3.55204e-05,2.0481099301609794e-05,BenjiRolls,3
GRW,0.002,0.00029811998901383135,GrowthCoin,0
ILC,0.0025,0.00133107321342839,ILCoin,3
PHR,3e-05,1.1505367505890212e-05,Phreak,0
DEA,0.000105,2.1574712631564118e-05,Degas Coin,0
HTML5,0.09,0.041070185354394564,HTML5 Coin,0
USC,0.0002000842,1.0447665574437378e-05,Ultimate Secure Cash,0
EQT,7.2e-05,1.3811636685882888e-05,EquiTrader,3
QTUM,9.999999999999999e-05,0.00010101121017516,QTUM,0
QRL,0.000105,6.973410292439654e-05,Quantum Resistant Ledger,3
ESP,0.049999999999999996,0.023032467461920655,Espers,0
DYN,0.0,1.9984250712738026e-05,Dynamic,3
NANO,0.000340282367,0.00013459573144297484,Nano,3
CHAN,3e-05,1.859336055000138e-05,ChanCoin,3
DCY,0.002,0.0018277653841021488,Dinastycoin,3
DNR,9.999999999999999e-06,4.21352278424478e-06,Denarius,0
DP,9.999999999999999e-05,3.549427637356498e-05,DigitalPrice,3
VUC,0.00012,6.357853594515095e-05,Virta Unique Coin,0
BTPL,9.999999999999999e-05,6.873128862948033e-06,Bitcoin Planet,0
UNIFY,1.9276799999999998e-05,1.8316524981192004e-05,Unify,3
BRIT,3e-05,2.1483123708606792e-05,BritCoin,0
SOCC,7.5e-05,5.219991834361899e-06,SocialCoin,3
ARC,6e-05,2.6305676035663084e-05,ArcticCoin,3
DAS,1.89e-05,2.6493675781863705e-06,DAS,3
LINDA,0.049999999999999996,0.009136398000134972,Linda,0
XLC,5.4e-05,1.4304972176342188e-05,LeviarCoin,3
ONION,1.88981876216583e-05,2.213861203943481e-05,DeepOnion,0
BTX,2.1e-05,1.79818445601243e-05,Bitcore,3
GCN,0.19999999999999998,0.16470399637021482,gCn Coin,3
SMART,0.005,0.0022636713700820437,SmartCash,3
SIGT,0.0001375,0.00010906460097861412,Signatum,0
ONX,0.0011,0.00012371413404244978,Onix,3
CRM,9.999999999999999e-05,4.781040413584817e-05,Cream,0
BCH,2.1e-05,1.8177528090389545e-05,Bitcoin Cash,3
XMCC,9.507271e-06,1.2696327105426492e-05,Monoeci,0
DFT,1.740589119707116e-05,1.8851988003957774e-05,Draftcoin,0
VET,0.086712634466,0.05601552220497439,Vechain,1
SOJ,0.0105,4.900783145103299e-07,Sojourn Coin,3
STCN,6.1599965e-05,4.040407679314124e-06,Stakecoin,0
NYC,0.0,0.14445282836496898,NewYorkCoin,3
FRAZ,1.9999999999999998e-05,9.802131952335057e-06,FrazCoin,3
KRONE,8.4e-05,1.7630208474200687e-05,Kronecoin,3
ACC,9.999999999999999e-05,3.2976829554994085e-05,AdCoin,3
LINX,9.999999999999999e-05,3.405744282107109e-05,Linx,3
